Назва товару,Ціна (готівка)
"Комплект: Інвертор + АКБ + Захист + конект бокс + мітер + моніторинг","1 750 $"
"Комплект: Інвертор + АКБ + Захист + конект бокс + мітер + моніторинг","1 900 $"
"Комплект: Інвертор + АКБ + Захист + конект бокс + мітер + моніторинг","4 500 $"
"Solis","за запитом"
"Solis RHI-3P10K-HVES-5G","990 $"
"RHI-3P10K-48ES-5G + PYLONTECH Force-H2","3 900 $"
"Інвертори Deye","за запитом"
"Deye SUN-10K-G04","650 $"
"Deye SUN-15K-G04","690 $"
"Deye SUN-20K-G04","850 $"
"Deye SUN-30K-G04","1 050 $"
"Deye SUN-50K-G04","1 690 $"
"Deye SUN-60K-G04","2 550 $"
"Deye SUN-100K-G04","2 600 $"
"Інвертори Huawei","за запитом"
"Однофазні гібридні інвертори Huawei","за запитом"
"Huawei SUN2000-5KTL-L1","€1 120,00"
"Huawei SUN2000L-6KTL-L1","€1 180,00"
"Трифазні гібридні інвертори Huawei","за запитом"
"Huawei SUN2000-5KTL-M0","за запитом"
"Huawei SUN2000-8KTL-M0","€1 220,00"
"Huawei SUN2000-10KTL-M0","€1 280,00"
"Мережеві інвертори Huawei","за запитом"
"Huawei SUN 2000-8KTL","€1 050,00"
"Huawei SUN 2000-8KTL-M1","€1 540,00"
"Huawei SUN 2000-10KTL-M1","€1 675,00"
"Huawei SUN 2000-12KTL","€1 150,00"
"Huawei SUN2000-12KTL-M0","€1 300,00"
"Huawei SUN2000-12KTL-M5","€1 757,00"
"Huawei SUN2000-15KTL-M0","€1 600,00"
"Huawei SUN2000-15KTL-M5","€1 500,00"
"Huawei SUN2000-17KTL-M0","€1 470,00"
"Huawei SUN2000-17KTL-M5","€1 480,00"
"Huawei SUN2000-20KTL-M0","€1 620,00"
"Huawei SUN2000-20KTL-M5","€1 670,00"
"Huawei SUN2000-25KTL-M5","€2 000,00"
"Huawei SUN 2000-30KTL-M3","€1 990,00"
"Huawei SUN 2000-33KTL-A","€1 900,00"
"Huawei SUN 2000-36KTL","€2 450,00"
"Huawei SUN 2000-36KTL-M3","€2 300,00"
"Huawei SUN 2000-40KTL-M3","€2 750,00"
"Huawei SUN 2000-50KTL-M0","€2 500,00"
"Huawei SUN 2000-50KTL-M3","€2 400,00"
"Huawei SUN 2000-60KTL-M0","€3 350,00"
"Huawei SUN 2000-100KTL-M1","€4 100,00"
"Huawei SUN 2000-100KTL-M2","€4 100,00"
"Huawei SUN 2000-115KTL-M2","€4 700,00"
"Huawei SUN 2000-150KTL-MG0","€5 900,00"
"Аксесуари до інверторів Huawei","за запитом"
"Smart Dongle 05","€65,00"
"Smart 4G","€155,00"
"Smart Logger 3000a01","€500,00"
"Smart Logger 3000a01 plc","€1 200,00"
"SUN2000P-375W","€72,00"
"смарт мітер DTSU666-HW 80A пряме включення, більше на зовншні транси","€210,00"
"смарт мітер DTSU666-H 250A/50mA","€185,00"
"Janitza UMG 103-CBM","€510,00"
"Трансформатор струму","€50,00"
"Трансформатор струму","€60,00"
"Трансформатор струму","€75,00"
"Мережевий інвертор Solis","за запитом"
"Однофазні інвертори","за запитом"
"Solis S6-GR1P3K-M","516 $"
"Solis S6-GR1P4K-M","690 $"
"Solis S6-GR1P5K-M","790 $"
"Solis S6-GR1P6K-M","832 $"
"Трифазні інвертори","за запитом"
"Solis-3P5K-4G","$740,00"
"Solis-3P10K-4G-DC","$1 080,00"
"Solis-3P15K-4G-DC","$1 320,00"
"Solis-3P17K-4G-DC","$1 200,00"
"Solis 3P20K-4G","$1 300,00"
"Solis- 3P-30K-5G+WiFi","$1 300,00"
"Solis S5-GC30K","$1 300,00"
"Solis- S5-GC40K+WiFi","$2 300,00"
"Solis- S5-GC50K+WiFi","$1 900,00"
"Solis- S5-GC100K+WiFi","$2 900,00"
"Solis- S5-GC110K+WiFi","$4 650,00"
"Solis S5-GR3P4K","$1 030,00"
"Solis S5-GR3P6K","$1 100,00"
"Solis S5-GR3P8K","$1 160,00"
"Solis S5-GR3P10K","$1 200,00"
"Solis S5-GR3P12K","$1 250,00"
"Solis S5-GR3P15K","$1 280,00"
"Solis S5-GR3P17K","$1 280,00"
"Solis S5-GR3P20K","$1 300,00"
"Solis S5-GC25K","$1 300,00"
"Data Loger WiFi Solis","$45,00"
"Мережеві інвертори Axioma","за запитом"
"Axioma Axgrid-1,5/2","$580,00"
"Axioma Axgrid-3/4","$620,00"
"Axioma Axgrid-5/6","$670,00"
"Axioma Axgrid-6/8","$770,00"
"Axioma Axgrid-5/6-3","$1 020,00"
"Axioma Axgrid-8/11","$1 050,00"
"Axioma Axgrid-10/13","$1 100,00"
"Axioma Axgrid-12/16","$1 184,00"
"Axioma Axgrid-15/20","$1 200,00"
"Axioma Axgrid-17/23","$1 340,00"
"Axioma Axgrid-20/27","$1 360,00"
"Axioma Axgrid-25/34","$1 790,00"
"Axioma Axgrid-30/40","$1 750,00"
"Axioma Axgrid-50/67","$2 300,00"
"Аксесуари до інверторів Axioma","за запитом"
"Energymeter","$75,00"
"Мережеві інвертори Trannergy","за запитом"
"Трифазні інвертори","за запитом"
"TRB5000TL","1036$"
"TRB010KTL","1124$"
"TRN012KTL","1468$"
"TRN015KTL","1468$"
"TRN017KTL","1420$"
"TRN020KTL","1520$"
"TRN025KTL","1744$"
"TRN0030KTL","1888$"
"Трифазні інвертори Goodwe","за запитом"
"Однофазні інвертори","за запитом"
"GW1500-NS","1500"
"GW3000-NS","3000"
"GW5000D-NS","5000"
"Трифазні інвертори","за запитом"
"GW10KN-DT","1350"
"GW15KN-DT","1900"
"GW17KN-DT","1950"
"GW20KN-DT","2000$"
"GW30KN-DT","1950$"
"Мережеві інвертори Altek","за запитом"
"Однофазні інвертори","за запитом"
"ACRUX-1K-SM","361$"
"ACRUX-1.5K-SM","388$"
"ACRUX-2K-SM","427$"
"АKRUX-3К-SM","560$"
"АKSG-3.2К-DM","800$"
"ACRUX-5K-DM","843$"
"Трифазні інвертори","за запитом"
"ACRUX-10K-DM","1304$"
"ACRUX-15K-DM","1598$"
"ACRUX-20K-DM","1716$"
"ACRUX-30K-TM","1760$"
"ACRUX-50K-TM","3553$"
"AKSG-60K-TM","3962$"
"Аксесуари до інверторів Altek","за запитом"
"Зовнішній WIFI модуль","112$"
"Обмежувач ACRUX","694$"
"Мережеві інвертори Kstar","за запитом"
"Однофазні інвертори","за запитом"
"KSG-1-SM","328$"
"KSG-3-SM","416$"
"Трифазні інвертори","за запитом"
"KSG-5-SM","за запитом"
"KSG-10-SM+WiFi","$1 080,00"
"KSG-12-SM+WiFi","$1 100,00"
"KSG-15-SM+WiFi","$1 184,00"
"KSG-17-SM+WiFi","17"
"KSG-20-SM +WiFi","$1 200,00"
"KSG-30-SM +WiFi","$1 400,00"
"Мережеві інвертори Growatt","за запитом"
"Однофазні інвертори","за запитом"
"1000 S","$350,00"
"3000 S","$630,00"
"3000","$568,00"
"5000 TL","$830,00"
"5000 MTL S","$900,00"
